                               1                                2                                3                                4                                5                                6                                7                                8 
                  version_number                 initial_don_mass                 initial_acc_mass              initial_period_days                         compiler                            build                 MESA_SDK_version                             date 
                      "r24.08.1"          1.5000000000000002E+001          1.0000000000000000E+001          1.0000000000000000E+001                       "gfortran"                         "13.3.0"            "x86_64-linux-24.7.1"                       "20240917" 

                               1                                2                                3                                4                                5                                6                                7                                8                                9                               10                               11                               12                               13                               14                               15                               16                               17                               18                               19                               20                               21                               22                               23                               24                               25                               26                               27                               28                               29                               30                               31 
                    model_number                              age                      period_days                binary_separation                          v_orb_1                          v_orb_2                             rl_1                             rl_2           rl_relative_overflow_1           rl_relative_overflow_2                      star_1_mass                      star_2_mass                lg_mtransfer_rate                   lg_mstar_dot_1                   lg_mstar_dot_2                 lg_system_mdot_1                 lg_system_mdot_2                   lg_wind_mdot_1                   lg_wind_mdot_2              fixed_xfer_fraction                eff_xfer_fraction                            J_orb                             Jdot                          jdot_mb                          jdot_gr                          jdot_ml                          jdot_ls                jdot_missing_wind                       extra_jdot                      donor_index                 point_mass_index 
                             100          1.0329581151477166E+007          9.9999091214785327E+000          5.7114778350879206E+001          1.1558475668776656E+002          1.7337713503164986E+002          2.3671359599395615E+001          1.9670969784901608E+001         -5.3204229956816929E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698349153769641E+054         -1.2730011763529169E+034          0.0000000000000000E+000         -1.2730011763529169E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             105          1.0524435027116550E+007          9.9999074071620502E+000          5.7114771823299307E+001          1.1558476329278911E+002          1.7337714493918369E+002          2.3671356894024150E+001          1.9670967536729929E+001         -5.3065081608748277E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698348370985626E+054         -1.2730017942584464E+034          0.0000000000000000E+000         -1.2730017942584464E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             110          1.0595770263571991E+007          9.9999067795574064E+000          5.7114769433577415E+001          1.1558476571086274E+002          1.7337714856629415E+002          2.3671355903598069E+001          1.9670966713682930E+001         -5.4614307567719589E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698348084411396E+054         -1.2730020219489727E+034          0.0000000000000000E+000         -1.2730020219489727E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             115          1.0622841336130541E+007          9.9999065413871353E+000          5.7114768526699606E+001          1.1558476662849981E+002          1.7337714994274970E+002          2.3671355527740346E+001          1.9670966401344053E+001         -5.6369099313792459E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698347975659073E+054         -1.2730021074465832E+034          0.0000000000000000E+000         -1.2730021074465832E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             120          1.0633663643080611E+007          9.9999064461728846E+000          5.7114768164153567E+001          1.1558476699534714E+002          1.7337715049302071E+002          2.3671355377482254E+001          1.9670966276479131E+001         -5.7692299691311488E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698347932182735E+054         -1.2730021412988553E+034          0.0000000000000000E+000         -1.2730021412988553E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             125          1.0638232195683403E+007          9.9999064059789298E+000          5.7114768011107564E+001          1.1558476715020888E+002          1.7337715072531336E+002          2.3671355314051965E+001          1.9670966223768371E+001         -5.8482482595158458E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698347913829537E+054         -1.2730021553985102E+034          0.0000000000000000E+000         -1.2730021553985102E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             130          1.0640344251718305E+007          9.9999063873971377E+000          5.7114767940353921E+001          1.1558476722180195E+002          1.7337715083270294E+002          2.3671355284727944E+001          1.9670966199400027E+001         -5.8901332975894594E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698347905344795E+054         -1.2730021617827222E+034          0.0000000000000000E+000         -1.2730021617827222E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             135          1.0641448007248281E+007          9.9999063776863437E+000          5.7114767903378258E+001          1.1558476725921629E+002          1.7337715088882447E+002          2.3671355269403289E+001          1.9670966186665190E+001         -5.9117082965100098E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698347900910691E+054         -1.2730021650327800E+034          0.0000000000000000E+000         -1.2730021650327800E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             140          1.0642097090194715E+007          9.9999063719757295E+000          5.7114767881634044E+001          1.1558476728121852E+002          1.7337715092182782E+002          2.3671355260391341E+001          1.9670966179176236E+001         -5.9188373569948627E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698347898303137E+054         -1.2730021669042679E+034          0.0000000000000000E+000         -1.2730021669042679E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
                             145          1.0642532164646184E+007          9.9999063681479576E+000          5.7114767867059079E+001          1.1558476729596639E+002          1.7337715094394960E+002          2.3671355254350718E+001          1.9670966174156465E+001         -5.9208129178751268E-001         -1.0000000000000000E+000          1.5000000000000002E+001          1.0000000000000000E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001         -9.8999999999999986E+001          1.0000000000000000E+000          1.0000000000000000E+000          1.3698347896555315E+054         -1.2730021681170477E+034          0.0000000000000000E+000         -1.2730021681170477E+034          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000          0.0000000000000000E+000                                1                                2 
